,ID,Name,Date,Time,Event,Status,Latitude,Longitude,MaximumWind,MAX_CAT
24693,AL021957,AUDREY,19570627,1330,L, HU,29.8N,93.7W,110,CAT 2
25016,AL051958,ELLA,19580901,1200,L, HU,18.2N,73.4W,95,CAT 1
25018,AL051958,ELLA,19580902,0,L, HU,20.0N,76.2W,70,TS
25198,AL101958,JANICE,19581006,2100,L, HU,25.1N,77.1W,60,TS
25199,AL101958,JANICE,19581006,2300,L, HU,25.5N,76.8W,60,TS
25334,AL041959,CINDY,19590709,400,L, HU,33.0N,79.6W,65,TS
25360,AL051959,DEBRA,19590725,500,L, HU,29.1N,95.2W,75,CAT 1
25432,AL081959,GRACIE,19590929,1700,L, HU,32.5N,80.4W,115,CAT 3
25659,AL021960,ABBY,19600715,600,L, HU,16.3N,86.6W,70,TS
25661,AL021960,ABBY,19600715,1400,L, HU,16.5N,88.4W,70,TS
25755,AL051960,DONNA,19600904,2200,L, HU,17.7N,61.8W,110,CAT 2
25757,AL051960,DONNA,19600905,400,L, HU,18.1N,63.0W,110,CAT 2
25770,AL051960,DONNA,19600908,600,L, HU,22.2N,74.3W,105,CAT 2
25772,AL051960,DONNA,19600908,1600,L, HU,22.4N,75.8W,105,CAT 2
25780,AL051960,DONNA,19600910,700,L, HU,24.8N,80.9W,125,CAT 3
25782,AL051960,DONNA,19600910,1600,L, HU,25.9N,81.6W,105,CAT 2
25789,AL051960,DONNA,19600912,400,L, HU,34.6N,77.3W,90,CAT 1
25793,AL051960,DONNA,19600912,1900,L, HU,40.7N,72.9W,85,CAT 1
25794,AL051960,DONNA,19600912,2000,L, HU,41.3N,72.4W,80,CAT 1
25815,AL061960,ETHEL,19600915,2100,L, HU,30.4N,89.0W,70,TS
28878,AL091969,CAMILLE,19690815,2200,L, HU,21.9N,84.3W,95,CAT 1
28888,AL091969,CAMILLE,19690818,400,L, HU,30.3N,89.4W,150,CAT 4
34797,AL031983,ALICIA,19830818,700,L, HU,29.1N,95.1W,100,CAT 2
34831,AL041983,BARRY,19830828,1725,L, HU,25.4N,97.4W,70,TS
35022,AL101984,DIANA,19840913,700,L, HU,33.9N,78.0W,80,CAT 1
35341,AL021985,BOB,19850725,300,L, HU,32.2N,80.5W,65,TS
35391,AL041985,DANNY,19850815,1630,L, HU,29.6N,92.7W,80,CAT 1
35436,AL051985,ELENA,19850902,1300,L, HU,30.4N,89.2W,100,CAT 2
35536,AL091985,GLORIA,19850927,530,L, HU,35.2N,75.6W,90,CAT 1
35539,AL091985,GLORIA,19850927,1600,L, HU,40.6N,73.3W,75,CAT 1
35623,AL121985,JUAN,19851029,1100,L, HU,29.5N,91.4W,65,TS
35663,AL131985,KATE,19851121,2230,L, HU,30.0N,85.4W,85,CAT 1
35709,AL021986,BONNIE,19860626,1000,L, HU,29.6N,94.2W,75,CAT 1
35764,AL051986,CHARLEY,19860817,1400,L, HU,34.7N,76.5W,65,TS
36229,AL121987,EMILY,19870923,300,L, HU,18.3N,71.0W,95,CAT 1
36239,AL121987,EMILY,19870925,1145,L, HU,32.3N,64.7W,75,CAT 1
36261,AL131987,FLOYD,19871012,2100,L, HU,25.1N,80.5W,65,TS
36357,AL041988,DEBBY,19880903,0,L, HU,20.7N,97.3W,65,TS
36416,AL071988,FLORENCE,19880910,200,L, HU,29.1N,89.3W,70,TS
36439,AL081988,GILBERT,19880912,1700,L, HU,17.8N,76.8W,115,CAT 3
36448,AL081988,GILBERT,19880914,1500,L, HU,20.7N,87.0W,140,CAT 4
